,album_info,album_title,lyrics,song_title
0,"album: ""Breakout"" (2008)","""Breakout""","

Every weeks the same
Stuck in school's so lame
My parents say that I'm lazy
Getting up at 8 AM's crazy

Tired of being told what to do
So unfair
So uncool

The day's too long
And I'm holding on
'til I hear the bell ring

'cause that's time when we're gonna
(Time when we're gonna)

[Chorus:]
Breakout
Let the party start
We're gonna stay out
Gonna break some hearts
We're gonna dance till the dance floor falls apart
Uh oh, all over again.
We're gonna wake up everyone we know
We're gonna have some fun, gonna lose control
Feels so good, to let go-oh-oh.

Hangin' out's just somethin' we like to do
My friends and the mess we get into
These are the lessons that we choose
Not a book full of things we'll never use

[Chorus]

I wish it would never end,
Spending time with my friends.
Oh with my friends!

[Chorus x2]
",Breakout
1,"album: ""Breakout"" (2008)","""Breakout""","

I probably shouldn't say this
But at times I get so scared
When I think about the previous
Relationship we've shared

It was awesome
But we lost it
It's not possible
For me not to care

And now we're standing in the rain
But nothing's ever gonna change
Until you hear
My dear

The 7 things I hate about you
The 7 things I hate about you (oh you)

You're vain, your games, you're insecure
You love me, you like her
You make me laugh, you make me cry
I don't know which side to buy

Your friends they're jerks
When you act like them
Just know it hurts

I wanna be with the one I know
And the 7th thing I hate the most that you do
You make me love you

It's awkward and silent
As I wait for you to say
But what I need to hear now
Is your sincere apology

When you mean it
I'll believe it
If you text it
I'll delete it

Let's be clear
Oh I'm not coming back
You're taking 7 steps here

The 7 things I hate about you

You're vain, your games, you're insecure
You love me, you like her
You make me laugh, you make me cry
I don't know which side to buy

Your friends they're jerks
When you act like them
Just know it hurts

I wanna be with the one I know
And the 7th thing I hate the most that you do
You make me love you

And compared to all the great things
That would take too long to write
I probably should mention
The 7 that I like

The 7 things I like about you

Your hair, your eyes, your old Levi's
When we kiss, I'm hypnotized
You make me laugh, you make me cry
But I guess that's both I'll have to buy

Your hand in mine
When we're intertwined
Everything's alright

I want to be with the one I know
And the 7th thing I like the most that you do
You make me love you
You do
",7 Things
2,"album: ""Breakout"" (2008)","""Breakout""","

After twelve
Not so well
Won't pretend, it's too soon to tell
What's around this bend?

No disgrace
About face
Anything not to have to chase
You down again

You know nothing hurts like losing
When you know it's really gone
Except for the pain of choosing
To hold too long

I tried it your way
But I got nothing to show
It's been the same, same
And the story's getting old
So I guess the driveway
Will be the end of the road
For us it's too late
Let the credits start to roll

A lot to say
But not today
Let the radio break the silence
As we drive

A kiss goodbye
Not this time
Don't remember what about this song
I ever liked

You know nothing hurts like losing
When you know I'm already gone
Except for the pain of choosing
To hold too long

I tried it your way
But I got nothing to show
It's been the same, same
And the story's getting old
So I guess the driveway
Will be the end of the road
For us it's too late
Let the credits start to roll

I thought maybe we were getting somewhere
But we're still nowhere at all
I watch your tail lights fading
I try but a tear won't fall

I remember what it feels like to know love
And have it taken away
Can't think of what I've learned right now
But I'll be thanking you someday

I tried it your way
But I got nothing to show
You know it's been the same, same
And the story's getting old
So I guess the driveway
Will be the end of the road
For us it's too late
Let the credits start to roll

Let the credits start to roll
So I guess the driveway
Will be the end of the road
Be the end of the road

Will be the end of the road
Be the end of the road
",The Driveway
3,"album: ""Breakout"" (2008)","""Breakout""","

I come home in the morning light
My mother says, ""When you gonna live your life right?""
Oh mother dear we're not the fortunate ones
And girls they wanna have fun
Oh girls just wanna have fun

The phone rings in the middle of the night
My father yells, ""what you gonna do with your life?""
Oh daddy dear you know you're still number one
And girls, they wanna have fun
Oh girls just wanna have

That's all they really want
Some fun
When the working day is done
Oh girls they wanna have fun
Oh girls just wanna have fun

(Girls they wanna, wanna have fun)
(Girls, they wanna have)

Some boys take a beautiful girl
And hide her away from the rest of the world
I wanna be the one to walk in the sun
Oh girls they wanna have fun
Oh girls just wanna have

That's all they really want
Some fun
When the working day is done
Oh girls they wanna have fun
Oh girls just wanna have fun

(Girls they wanna, wanna have fun)
(Girls, they wanna have)

They just wanna, they just wanna
They just wanna, they just wanna

That's all they really want
Some fun
When the working day is done
Oh girls they wanna have fun
Oh girls just wanna have fun

(Girls they wanna, wanna have fun)
(Girls, they wanna have)

When the working,when the working
When the working day is done
Oh when the working day is done
Oh girls the wanna have fun

(Girls they wanna, wanna have fun) (have fun)
(Girls, they wanna have)

(Girls they wanna, wanna have fun)
(They wanna have fun)
(Girls, they wanna have)
",Girls Just Wanna Have Fun
4,"album: ""Breakout"" (2008)","""Breakout""","

I've been in a rut
Back and forth enough
Heart like a wheel
Without you around
So uncomfortable is how it feels

Every time you're near
Trouble disappears
Under the ground
But when you go to far
Silver clouds will start hanging around

And I know why
Tried to run
But I keep on
Coming back
Full circle
And I can't jump the track
Can't let you go

Tied to one
So I keep on
Coming back
Full circle
'Cause I know you'll come around
You'll come around

Skippin down a broken path
How long can I last
Please let me know
Where's the finish line
'Cause I've got to find somewhere to go

I don't want to hear
People interfere
What do they know
What I feel inside
When I'm up all night
Needing you home

I don't know why
Tried to run
But I keep on
Coming back
Full circle
And I can't jump the track
Can't let you go

Tied to one
So I keep on
Coming back
Full circle
'Cause I know you'll come around
You'll come around

'Cause I know you'll come around
You'll come around

I'll keep on runnin'
'til we meet in the middle
I'll put pride aside
And I'll give just a little
There's miles to go
But we both know that
We'll make it

And I know why
Tried to run
But I keep on
Coming back
Full circle
And I can't jump the track
Can't let you go

Tied to one
So I keep on
Coming back
Full circle
'Cause I know you'll come around
You'll come around

I know you'll come around
You'll come around

Yeah I know you'll come around
You'll come around
",Full Circle
5,"album: ""Breakout"" (2008)","""Breakout""","

You don't understand what it is
That makes me tick
But you wish you did
You always second guess,wonder if i say yes
but you just lose out every time

If you only knew what i talked about
When I'm with my friends just hangin' out
Then you'd have the inside scoop
On what to say, what to do
That way when you play the game
Baby you could never lose

[Chorus:]
Don't you wish that you could be a Fly on the Wall
A creepy little sneaky little Fly on the Wall
All my precious secrets, yeah
You'd know them all
Don't you wish that you could be a Fly on the Wall

You'd love to know, the things I do
When I'm with my friends, and not with you
Your always second guess, wonder if
There's other guys im flirting with
You should know by now

If you were my boyfriend, I'd be true to you
If I make a promise, I'm comin' thru
Don't you wish that you could
See me every second of the day
That way you would have no doubt
That baby i would never stray

[Chorus:]
Don't you wish that you could be a Fly on the Wall
A creepy little sneaky little Fly on the Wall
All my precious secrets, yeah
You'd know them all
Don't you wish that you could be a Fly on the Wall

A little communication
Well that'll go a long way
You're getting misinformation
Too much hearsay, hearsay

and what i say is
come a little closer
And what I'm gonna say is

Don't You
Don't You
Don't You
Don't you wish you were a...
Hey!

[Chorus:]
Don't you wish that you could be a Fly on the Wall
A creepy little sneaky little Fly on the Wall
All my precious secrets, yeah
You'd know them all
Don't you wish that you could be a Fly on the Wall
",Fly On The Wall
6,"album: ""Breakout"" (2008)","""Breakout""","

It's been in the past for a while
I get a flash and I smile
Am I crazy?
Still miss you baby

It was real, it was right
But it burned too hot to survive
All that's left is
All these ashes

Where does the love go?
I don't know
When it's all said and done
How could I be losing you forever?
After all the time we spent together

I have to know why
I had to lose you
Now you've just become
Like everything I'll never find again
At the bottom of the ocean

Do do do
Do do do do
Do do do do do do do
Do do do do do do do

In a dream you appeared
For a while you were here
So I keep sleeping
Just to keep you with me

I'll draw a map
Connect the dots
With all the memories that I've got
What I'm missing
I'll keep re-living

Where does the love go?
I don't know
When it's all said and done
How could I be losing you forever?
After all the time we spent together

I have to know why
I had to lose you
Now you've just become
Like everything I'll never find again
At the bottom of the ocean

[speaking:]
This is it
Let go
Breathe

[sung:]
You don't have to love me
For me to, baby, ever understand
Just know I love the time that we both had
And I don't ever want to see you sad, be happy
Cause I don't want to hold you
If you don't want to tell me you love me babe
Just know I'm gonna have to walk away
I'll be big enough for both of us to say, be happy

Do do do
Do do do do (be happy)
Do do do do do do do (be happy)
Do do do do do do do
Be happy

Mmmm....
Be happy
",Bottom Of The Ocean
7,"album: ""Breakout"" (2008)","""Breakout""","

Oh, Can we take care of her?
Oh, Maybe you can spare her
Several moments of your consideration
Leading up to the final destination

Oh, The Earth is calling out
I wanna learn what it's all about but
Everything I read
Global warming, going green
I don't know what all this means
But it seems to be saying

Wake up America
We're all in this together
It's our home so let's take care of it
You know that you want to
You know that you got to
Wake up America
Tomorrow becomes a new day
And everything you do matters
Yea everything you do matters in some way

Stand up, I'll try if you will
Wake up, it's not a fire drill
All she needs is a little attention
Can you give her just a little attention?

Oh, it's easy to look away
But it's getting harder day by day
Everything I read
Global warming, going green
I don't know what all this means
But it seems to be saying

C'mon!
Wake up America
We're all in this together
It's our home so let's take care of it
You know that you want to
You know that you got to
Wake up America
Tomorrow becomes a new day
And everything you do matters
Yea everything you do matters in some way

I know that you don't want to hear it
Especially coming from someone so young
But in the backseat, yea, they want to hear it
(yeah you wanna hear it)

So come on, turn it up
Come on, turn it up
So come on (turn it up)

Wake up America (wake up)
We're all in this together
It's our home (it's our home)
So let's take care of it
You know that you want to
You know that you got to
Wake up America
Tomorrow becomes a new day
And everything you do matters
Yea everything you do matters in some way
",Wake Up America
8,"album: ""Breakout"" (2008)","""Breakout""","

These four walls
They whisper to me
They know a secret
I knew they would not keep
It didn't take long
For the room to fill with dust
And these four walls came down around us

It must have been something to send me out of my head
With the words so radical and not what I meant
Now I wait
For a break in the silence 'cause it's all that you left
Just me and these four walls again

It's hard now to let you be
I won't make excuses
I've made my peace
It didn't take long
For me to lose the trust
'Cause these four walls
Were not strong enough

It must have been something to send me out of my head
With the words so radical and not what I meant
Now I wait
For a break in the silence 'cause it's all that you left
Just me and these four walls again

Yeah
It's difficult
Watching us fade
Knowing it's all my fault
My mistake
Yeah, and it's difficult
Letting you down
Knowing it's all my fault
You're not around

It must have been something to send me out of my head
With the words so radical and not what I meant
Now I wait
For a break in the silence 'cause it's all that you left
Just me and these four walls again
",Four Walls
9,"album: ""Breakout"" (2008)","""Breakout""","

Wake up
Here I go
Cram it all down my throat
Stomach's so full
That I wish I could choke
7 A.M. my head's
Already in a spin
As soon as I'm out that door
Bam
It hits me like a ton of those red bricks
Can't dig myself out of this
Highest ditch
This madness
I swear sometimes
I can't tell which way is up
Which way is down
It's all up in my face
Need to push it away
Somebody push it away
So all that I can hear

[Chorus:]
Is a simple song
Sing along now
La la la la la
La la la la
La la la la la
La la la la

Mid day
Sun beatin' on the concrete
Burnin' up my feet
Too many cars on the street
The noise
The red
The green
Makes me wanna scream
It's 5 o'clock
Now it's bumper on bumper on bumper
Horn's honkin'
Nobody's lookin' but everybody's talkin'
Just another day
On this highway
I swear sometimes
I can't tell which way is up
Which way is down
It's all up in my face
Need to push it away
Somebody push it away
'cause all I wanna hear

[Chorus]

Hey

Sing along now
(la la la la la la la la la )
Sing along
(la la la la la la la la la)

What I'd give
To turn it off
And make it stop
Make it stop
You gotta make it stop
So all that I can hear

[Chorus]

La la la la la
La la la la
La la la la la
La la la la
",Simple Song
